Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
2025-05-20 22:43:05.506849,1,0,0,0
2025-05-20 22:43:05.645025,1,0,0,0
2025-05-20 22:43:05.762739,1,0,0,0
2025-05-20 22:43:05.880456,1,0,0,0
2025-05-20 22:43:05.996091,1,0,0,0
2025-05-20 22:43:06.113427,1,0,0,0
2025-05-20 22:43:06.231528,1,0,0,0
2025-05-20 22:43:06.351399,1,0,0,0
2025-05-20 22:43:06.468155,1,0,0,0
2025-05-20 22:43:06.586959,1,0,0,0
2025-05-20 22:43:06.705889,1,0,0,0
2025-05-20 22:43:06.820415,1,0,0,0
2025-05-20 22:43:06.940838,1,0,0,0
2025-05-20 22:43:07.059979,1,0,0,0
2025-05-20 22:43:07.176320,1,0,0,0
2025-05-20 22:43:07.293410,1,0,0,0
2025-05-20 22:43:07.411700,1,0,0,0
2025-05-20 22:43:07.530912,1,0,0,0
2025-05-20 22:43:07.652096,1,0,0,0
2025-05-20 22:43:07.768237,1,0,0,0
2025-05-20 22:43:07.886787,1,0,0,0
2025-05-20 22:43:08.004361,1,0,0,0
2025-05-20 22:43:08.123210,1,0,0,0
2025-05-20 22:43:08.241148,1,0,0,0
2025-05-20 22:43:08.360801,1,0,0,0
2025-05-20 22:43:08.477141,1,0,0,0
2025-05-20 22:43:08.615983,1,0,0,0
2025-05-20 22:43:08.755790,1,0,0,0
2025-05-20 22:43:08.872269,1,0,0,0
2025-05-20 22:43:09.012085,1,0,0,0
2025-05-20 22:43:09.149198,2,0,0,0
2025-05-20 22:43:09.286717,2,0,0,0
2025-05-20 22:43:09.425019,2,0,0,0
2025-05-20 22:43:09.563042,2,0,0,0
2025-05-20 22:43:09.704049,2,0,0,0
2025-05-20 22:43:09.842363,2,0,0,0
2025-05-20 22:43:09.982450,2,0,0,0
2025-05-20 22:43:10.123902,2,0,0,0
2025-05-20 22:43:10.263782,2,0,0,0
2025-05-20 22:43:10.401583,2,0,0,0
2025-05-20 22:43:10.540422,2,0,0,0
2025-05-20 22:43:10.677855,2,0,0,0
2025-05-20 22:43:10.818847,2,0,0,0
2025-05-20 22:43:10.959233,2,0,0,0
2025-05-20 22:43:11.095348,2,0,0,0
2025-05-20 22:43:11.236589,2,0,0,0
2025-05-20 22:43:11.374669,2,0,0,0
2025-05-20 22:43:11.514499,2,0,0,0
2025-05-20 22:43:11.652310,2,0,0,0
2025-05-20 22:43:11.789473,2,0,0,0
2025-05-20 22:43:11.927638,2,0,0,0
2025-05-20 22:43:12.069660,2,0,0,0
2025-05-20 22:43:12.207624,2,0,0,0
2025-05-20 22:43:12.348485,2,0,0,0
2025-05-20 22:43:12.488178,2,0,0,0
2025-05-20 22:43:12.627288,2,0,0,0
2025-05-20 22:43:12.764190,2,0,0,0
2025-05-20 22:43:12.905418,2,0,0,0
2025-05-20 22:43:13.027806,2,0,0,0
2025-05-20 22:43:13.147141,2,0,0,0
2025-05-20 22:43:13.266708,2,0,0,0
2025-05-20 22:43:13.384749,2,0,0,0
2025-05-20 22:43:13.503448,1,0,0,0
2025-05-20 22:43:13.623135,1,0,0,0
2025-05-20 22:43:13.741055,1,0,0,0
2025-05-20 22:43:13.860893,1,0,0,0
2025-05-20 22:43:13.980383,1,0,0,0
2025-05-20 22:43:14.097886,1,0,0,0
2025-05-20 22:43:14.216391,1,0,0,0
2025-05-20 22:43:14.334403,1,0,0,0
2025-05-20 22:43:14.454984,1,0,0,0
2025-05-20 22:43:14.571708,1,0,0,0
2025-05-20 22:43:14.690570,1,0,0,0
2025-05-20 22:43:14.808406,1,0,0,0
2025-05-20 22:43:14.927090,1,0,0,0
2025-05-20 22:43:15.046026,1,0,0,0
2025-05-20 22:43:15.163296,2,0,0,0
2025-05-20 22:43:15.283510,2,0,0,0
2025-05-20 22:43:15.420656,2,0,0,0
2025-05-20 22:43:15.562422,3,0,0,0
2025-05-20 22:43:15.705119,3,0,0,0
2025-05-20 22:43:15.847514,2,0,0,0
2025-05-20 22:43:15.988585,2,0,0,0
2025-05-20 22:43:16.126025,2,0,0,0
2025-05-20 22:43:16.268020,2,0,0,0
2025-05-20 22:43:16.411817,2,0,0,0
2025-05-20 22:43:16.551136,2,0,0,0
2025-05-20 22:43:16.696118,2,0,0,0
2025-05-20 22:43:16.831920,2,0,0,0
2025-05-20 22:43:17.206136,2,0,0,0
2025-05-20 22:43:17.473002,2,0,0,0
2025-05-20 22:43:17.627444,2,0,0,0
2025-05-20 22:43:17.772133,2,0,0,0
2025-05-20 22:43:17.911018,2,0,0,0
2025-05-20 22:43:18.057312,2,0,0,0
2025-05-20 22:43:18.200264,2,0,0,0
2025-05-20 22:43:18.339920,2,0,0,0
2025-05-20 22:43:18.485928,2,0,0,0
2025-05-20 22:43:18.626105,2,0,0,0
2025-05-20 22:43:18.762740,2,0,0,0
2025-05-20 22:43:18.900391,2,0,0,0
2025-05-20 22:43:19.352496,2,0,0,0
2025-05-20 22:43:19.588968,2,0,0,0
2025-05-20 22:43:19.745477,2,0,0,0
2025-05-20 22:43:19.908116,2,0,0,0
2025-05-20 22:43:20.056676,3,0,0,0
2025-05-20 22:43:20.201530,3,0,0,0
2025-05-20 22:43:20.342436,3,0,0,0
2025-05-20 22:43:20.486241,3,0,0,0
2025-05-20 22:43:20.627068,3,0,0,0
